Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed,STATE
1,1/30/2020,6:00 PM,Kerala,1,0,0,0,1,KERALA
2,1/31/2020,6:00 PM,Kerala,1,0,0,0,1,KERALA
3,2/1/2020,6:00 PM,Kerala,2,0,0,0,2,KERALA
4,2/2/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
5,2/3/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
6,2/4/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
7,2/5/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
8,2/6/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
9,2/7/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
10,2/8/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
11,2/9/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
12,2/10/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
13,2/11/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
14,2/12/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
15,2/13/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
16,2/14/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
17,2/15/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
18,2/16/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
19,2/17/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
20,2/18/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
21,2/19/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
22,2/20/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
23,2/21/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
24,2/22/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
25,2/23/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
26,2/24/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
27,2/25/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
28,2/26/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
29,2/27/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
30,2/28/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
31,2/29/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
32,3/1/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
33,3/2/2020,6:00 PM,Telengana,1,0,0,0,1,TELENGANA
34,3/2/2020,6:00 PM,Kerala,3,0,0,0,3,KERALA
35,3/2/2020,6:00 PM,Delhi,1,0,0,0,1,DELHI
36,3/3/2020,6:00 PM,Telengana,1,0,0,0,1,TELENGANA
37,3/3/2020,6:00 PM,Rajasthan,0,1,0,0,1,RAJASTHAN
38,3/3/2020,6:00 PM,Kerala,3,0,3,0,3,KERALA
39,3/3/2020,6:00 PM,Delhi,1,0,0,0,1,DELHI
40,3/4/2020,6:00 PM,Uttar Pradesh,6,0,0,0,6,UTTAR PRADESH
41,3/4/2020,6:00 PM,Kerala,3,0,3,0,3,KERALA
42,3/4/2020,6:00 PM,Haryana,0,2,0,0,2,HARYANA
43,3/4/2020,6:00 PM,Delhi,1,0,0,0,1,DELHI
44,3/4/2020,6:00 PM,Telengana,1,0,0,0,1,TELENGANA
45,3/4/2020,6:00 PM,Rajasthan,1,14,0,0,15,RAJASTHAN
46,3/5/2020,6:00 PM,Delhi,2,0,0,0,2,DELHI
47,3/5/2020,6:00 PM,Haryana,0,2,0,0,2,HARYANA
48,3/5/2020,6:00 PM,Kerala,3,0,3,0,3,KERALA
49,3/5/2020,6:00 PM,Rajasthan,1,14,0,0,15,RAJASTHAN
50,3/5/2020,6:00 PM,Telengana,1,0,0,0,1,TELENGANA
51,3/5/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,UTTAR PRADESH
52,3/6/2020,6:00 PM,Delhi,3,0,0,0,3,DELHI
53,3/6/2020,6:00 PM,Haryana,0,2,0,0,2,HARYANA
54,3/6/2020,6:00 PM,Kerala,3,0,3,0,3,KERALA
55,3/6/2020,6:00 PM,Rajasthan,1,14,0,0,15,RAJASTHAN
56,3/6/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,UTTAR PRADESH
57,3/6/2020,6:00 PM,Telengana,1,0,0,0,1,TELENGANA
58,3/7/2020,6:00 PM,Kerala,3,0,3,0,3,KERALA
59,3/7/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,UTTAR PRADESH
60,3/7/2020,6:00 PM,Ladakh,2,0,0,0,2,LADAKH
61,3/7/2020,6:00 PM,Telengana,1,0,0,0,1,TELENGANA
62,3/7/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,TAMIL NADU
63,3/7/2020,6:00 PM,Delhi,3,0,0,0,3,DELHI
64,3/7/2020,6:00 PM,Haryana,0,2,0,0,2,HARYANA
65,3/7/2020,6:00 PM,Rajasthan,1,14,0,0,15,RAJASTHAN
66,3/8/2020,6:00 PM,Ladakh,2,0,0,0,2,LADAKH
67,3/8/2020,6:00 PM,Telengana,1,0,0,0,1,TELENGANA
68,3/8/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,TAMIL NADU
69,3/8/2020,6:00 PM,Rajasthan,1,14,0,0,15,RAJASTHAN
70,3/8/2020,6:00 PM,Kerala,8,0,3,0,8,KERALA
71,3/8/2020,6:00 PM,Haryana,0,2,0,0,2,HARYANA
72,3/8/2020,6:00 PM,Delhi,3,0,0,0,3,DELHI
73,3/8/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7,UTTAR PRADESH
74,3/9/2020,6:00 PM,Ladakh,2,0,0,0,2,LADAKH
75,3/9/2020,6:00 PM,Karnataka,1,0,0,0,1,KARNATAKA
76,3/9/2020,6:00 PM,Kerala,9,0,3,0,9,KERALA
77,3/9/2020,6:00 PM,Maharashtra,2,0,0,0,2,MAHARASHTRA
78,3/9/2020,6:00 PM,Punjab,1,0,0,0,1,PUNJAB
79,3/9/2020,6:00 PM,Rajasthan,1,14,0,0,15,RAJASTHAN
80,3/9/2020,6:00 PM,Tamil Nadu,1,0,0,0,1,TAMIL NADU
81,3/9/2020,6:00 PM,Telengana,1,0,0,0,1,TELENGANA
82,3/9/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1,JAMMU AND KASHMIR
